,mt_moto,mt_auto,mt_remorque,mt_assur_vie,mt_incendie,nb_RC_agri,nb_bateau,nb_RC_entreprise,pouvoir_achat,PCSouvr,niv_etud_bas,nbpers_au_foyer,proprietaire,mt_RC,sans_religion,nb_invalidite,type_client,PCSinter,concubin,assur_sante_prive
0,0,0,0,0,4,0,0,0,3,1,6,4,8,1,3,0,8,2,0,1
1,4,6,0,3,4,0,0,0,8,0,0,3,6,2,4,0,2,4,2,2
2,0,6,0,4,4,0,0,0,5,2,4,3,8,2,3,0,9,3,2,3
3,0,5,0,0,3,0,0,0,4,2,4,2,6,2,4,0,3,5,4,2
4,0,0,0,0,1,0,0,0,1,4,9,2,0,2,7,0,7,2,0,0
5,0,0,0,0,4,0,0,0,2,3,6,2,4,0,3,0,7,3,0,0
6,0,6,0,0,2,0,0,0,5,3,4,2,1,2,2,0,8,3,0,5
7,0,0,0,0,0,0,0,0,8,2,2,3,9,2,2,0,2,2,0,6
8,0,0,0,0,2,0,0,0,6,1,2,2,2,2,0,0,1,4,0,2
9,0,0,0,0,4,0,0,0,8,3,5,4,9,2,2,0,3,5,0,3
10,0,0,0,0,0,0,0,0,6,5,6,3,5,0,0,0,8,0,0,2
11,0,6,0,0,0,0,0,0,3,0,4,3,4,2,6,0,8,4,0,7
12,0,0,0,0,3,0,0,0,4,1,4,3,0,0,0,0,9,4,0,3
13,0,6,0,0,3,0,0,0,6,3,6,2,2,1,5,0,3,3,2,1
14,0,0,0,0,0,0,0,0,3,1,7,2,9,0,3,0,10,1,0,7
15,0,0,0,0,0,0,0,0,1,1,3,1,0,0,3,0,6,5,1,4
16,0,0,0,0,0,0,0,0,4,1,5,3,8,2,2,0,10,2,1,4
17,4,6,0,6,4,0,0,0,5,0,5,5,6,2,3,0,9,3,0,0
18,0,0,0,0,2,0,0,0,3,0,4,1,1,0,3,0,5,3,1,2
19,0,0,0,0,2,0,0,0,2,2,2,2,9,0,2,0,5,0,0,7
20,0,6,0,0,4,1,0,0,3,2,4,2,2,0,4,0,8,7,2,0
21,0,5,0,0,3,0,0,0,6,2,3,3,3,2,6,0,3,6,0,1
22,0,6,0,0,0,0,0,0,3,2,6,2,3,0,2,0,1,3,1,2
23,0,6,0,0,2,0,0,0,5,4,6,4,0,2,2,0,9,2,0,1
24,0,0,0,0,0,0,0,0,1,3,5,3,5,2,3,0,7,2,1,2
25,0,0,0,0,2,0,0,0,2,4,7,2,1,2,3,0,5,3,1,1
26,0,6,0,0,0,0,0,0,7,0,4,4,5,0,0,0,3,2,0,2
27,5,6,0,0,0,0,0,0,6,1,4,3,5,0,4,0,3,2,1,4
28,0,5,0,0,0,0,0,0,3,5,5,1,1,0,5,0,5,1,2,1
29,0,5,0,0,4,0,0,0,8,3,1,4,9,2,3,0,2,1,1,4
30,0,0,0,0,3,0,0,0,6,2,7,3,7,0,2,0,8,2,2,0
31,0,6,0,0,0,0,0,0,4,4,2,3,1,2,6,0,3,4,3,3
32,0,5,0,0,2,0,0,0,3,1,5,4,8,1,4,0,8,3,0,3
33,0,0,0,0,0,0,0,0,4,0,7,2,9,0,7,0,10,2,2,0
34,0,0,0,0,0,0,0,1,6,3,2,3,2,0,5,0,3,5,1,3
35,0,6,0,0,5,1,0,0,3,1,5,3,6,0,3,0,8,2,2,2
36,0,0,0,0,4,0,0,0,3,1,5,3,5,1,2,0,7,3,0,1
37,0,0,0,0,0,0,0,0,3,5,8,2,0,0,4,0,7,1,0,0
38,0,6,0,0,2,0,0,0,7,1,2,3,9,0,2,0,2,2,0,7
39,0,5,0,0,0,0,0,0,7,2,1,4,9,0,5,0,3,4,0,9
40,0,6,0,0,0,0,0,0,6,1,1,3,2,0,5,0,3,5,2,4
41,0,0,0,0,0,0,0,0,1,5,7,1,0,0,4,0,5,3,0,0
42,0,6,0,0,4,0,0,0,6,4,4,2,9,1,0,0,3,2,0,4
43,0,6,0,0,4,0,0,0,5,0,2,2,9,2,7,0,8,0,0,7
44,0,6,0,0,4,0,0,0,6,2,6,4,7,0,2,0,8,2,2,0
45,0,0,0,0,2,0,0,0,4,1,4,3,0,2,0,0,9,4,0,3
46,0,0,0,0,3,0,0,0,2,3,6,2,4,0,3,0,7,3,0,0
47,0,5,0,0,0,0,0,0,4,3,5,3,0,0,5,0,9,2,0,0
48,0,0,0,0,2,0,0,0,3,2,4,2,0,2,5,0,5,4,6,0
49,0,6,0,0,0,0,0,0,3,3,7,3,8,2,4,0,7,3,0,2
50,0,6,0,0,3,0,0,0,1,3,9,2,0,1,3,0,6,2,0,0
51,0,6,0,0,4,0,0,0,4,2,5,3,7,2,2,0,8,4,1,4
52,0,6,0,0,4,0,0,0,3,4,5,2,4,2,4,0,8,3,2,2
53,0,6,0,0,2,0,0,0,1,2,4,3,5,0,2,0,7,4,1,3
54,0,5,0,0,0,0,0,0,4,2,3,4,5,0,5,0,9,7,0,2
55,0,0,0,0,4,0,0,0,5,4,5,2,4,0,3,0,8,2,1,1
56,0,6,0,0,4,0,0,0,7,0,2,3,9,1,2,0,2,5,0,7
57,4,0,0,0,0,0,0,0,8,1,3,3,7,0,3,0,2,4,1,4
58,0,0,0,0,0,0,0,0,4,3,3,2,4,0,4,0,3,5,2,4
59,0,0,0,0,0,0,0,0,4,1,3,3,6,0,3,0,9,3,1,4
60,0,0,0,0,2,0,0,0,3,4,6,3,7,2,2,0,8,4,0,2
