,mt_auto,nb_bateau,mt_RC,pouvoir_achat,mt_incendie,mt_bateau,niv_etud_bas,revenu_moyen,niv_etude_haut,revenu1,proprietaire,auto0,auto1,type_client,nb_securite_soc,PCStop,revenu4,revenu3,assur_sante_prive,PCSouvr,PCSagri,celibataire,PCSinter,mt_cyclomoteur,PCSouvr_quali,sans_religion,nbpers_au_foyer,nb_accident_famil,concubin,mt_velo,assur_caravane
0,6,0,0,3,5,0,7,4,1,0,8,1,8,8,0,1,0,5,1,2,1,1,2,0,5,3,3,0,0,0,0
1,0,0,2,4,2,0,4,5,0,2,7,2,7,8,0,0,2,5,3,4,0,0,5,0,0,4,2,0,2,0,0
2,6,0,2,4,2,0,4,3,0,4,2,2,7,8,0,0,0,0,0,2,0,4,7,0,0,4,2,0,2,0,0
3,6,0,0,4,2,0,2,4,3,1,4,0,9,3,0,4,0,3,2,2,0,2,3,0,1,4,3,0,2,0,0
4,0,0,0,3,6,0,0,6,5,0,5,1,6,10,0,0,0,9,4,0,4,2,0,0,0,4,4,0,1,0,0
5,6,0,0,3,0,0,4,3,0,5,0,3,5,5,0,2,0,3,0,2,0,3,4,0,2,5,2,0,6,0,0
6,6,0,0,5,0,0,5,3,0,4,3,1,8,9,0,0,0,3,0,5,0,0,4,0,1,5,3,0,2,0,0
7,0,0,0,3,0,0,6,3,0,2,9,2,4,8,0,2,0,3,3,2,0,0,2,3,5,2,2,0,2,0,0
8,5,0,0,3,0,0,8,2,0,7,0,3,5,8,0,1,0,1,2,1,0,3,1,0,8,6,2,0,0,0,0
9,0,0,2,7,3,0,5,4,0,2,9,2,6,3,0,2,1,3,3,3,0,2,3,0,3,2,3,0,0,0,0
10,6,0,0,7,0,0,3,8,4,0,9,1,6,3,0,0,2,2,4,0,0,0,9,0,0,4,4,0,1,0,0
11,5,0,2,4,2,0,1,3,1,3,3,2,7,3,0,4,1,3,5,1,0,2,5,0,1,4,3,0,1,0,0
12,6,0,0,3,0,0,5,3,1,3,4,3,6,8,0,1,1,3,2,4,0,3,3,0,2,4,2,0,2,0,0
13,0,0,0,4,0,0,4,4,2,3,4,0,7,10,0,3,1,4,1,2,1,1,2,0,2,4,3,0,1,0,0
14,5,0,2,3,2,0,2,3,2,4,0,3,5,5,0,1,0,3,4,2,0,5,4,0,3,2,1,0,2,0,0
15,0,0,2,3,4,0,6,3,0,2,9,2,4,8,0,2,0,3,3,2,0,0,2,0,5,2,2,0,2,0,0
16,0,0,0,4,0,0,2,5,2,0,3,0,7,9,0,2,2,6,5,4,0,0,4,0,0,3,2,0,0,0,0
17,6,0,2,2,3,0,7,4,2,0,5,2,6,5,0,0,0,3,2,5,0,0,1,0,1,4,3,0,0,0,0
18,5,0,2,6,2,0,1,4,5,2,5,2,7,3,0,6,0,6,4,1,0,1,3,0,0,3,4,0,0,0,0
19,0,0,0,1,0,0,9,3,0,5,0,0,7,7,0,0,0,0,0,4,0,0,2,3,4,7,2,0,0,0,0
20,6,0,0,3,0,0,9,3,0,3,0,0,7,8,0,0,0,2,0,0,3,0,0,0,6,3,4,0,0,0,0
21,6,0,2,3,4,0,7,3,0,3,9,2,7,8,0,0,0,0,0,3,2,0,4,0,0,3,3,0,0,0,0
22,6,0,2,6,4,0,1,5,3,1,5,1,7,3,0,6,0,8,4,1,0,1,2,0,0,2,3,0,0,0,0
23,0,0,0,6,0,0,7,4,0,0,7,0,5,8,0,0,0,4,0,2,0,0,2,0,4,2,3,0,2,0,0
24,0,0,0,6,0,0,2,4,1,0,8,1,8,3,0,4,0,4,5,0,0,1,3,0,3,4,4,0,1,1,0
25,0,0,2,3,4,0,6,4,1,0,7,2,7,8,0,1,0,5,2,4,1,2,4,0,2,2,3,0,0,0,0
26,6,0,0,4,0,0,2,5,3,2,1,0,9,8,0,1,2,3,4,2,0,0,5,0,2,4,3,0,2,0,0
27,0,0,2,3,3,0,7,3,2,4,7,0,7,10,0,2,0,4,2,0,5,0,0,0,2,6,3,0,0,0,0
28,0,0,0,1,0,0,9,1,0,9,0,4,3,7,0,0,0,0,2,5,2,0,0,3,3,0,4,0,0,0,0
29,0,0,2,3,3,0,7,3,0,5,1,4,5,8,0,0,0,2,1,1,1,4,2,0,6,2,2,0,1,0,0
30,6,0,2,2,3,0,3,3,2,5,4,2,7,5,0,2,0,2,0,0,0,3,5,0,3,4,2,0,4,0,0
31,0,0,0,3,0,0,0,3,1,4,3,2,7,5,0,3,0,2,3,5,0,6,1,0,1,4,2,0,1,0,0
32,6,0,0,3,3,0,6,4,2,4,5,1,5,8,0,3,0,4,2,1,1,1,2,0,4,5,4,0,1,0,0
33,0,0,0,4,0,0,5,3,1,4,3,3,6,9,0,2,0,3,1,3,0,4,3,0,2,2,2,0,2,0,0
34,0,0,0,6,3,0,2,4,1,0,8,1,8,3,0,4,0,4,5,0,0,1,3,0,3,4,4,0,1,0,0
35,6,0,2,7,3,0,2,3,2,3,3,2,7,2,1,2,0,3,3,3,0,1,3,0,1,4,3,1,1,0,0
