,mt_moto,mt_auto,mt_remorque,mt_assur_vie,mt_incendie,nb_RC_agri,nb_bateau,nb_RC_entreprise,pouvoir_achat,PCSouvr,niv_etud_bas,nbpers_au_foyer,proprietaire,mt_RC,sans_religion,nb_invalidite,type_client,PCSinter,concubin,assur_sante_prive,niv_etude_haut,mt_tracteur,mt_bateau,sans_enfant,celibataire,auto0,catholique,nb_MRH,revenu2,PCSagri,nb_accident_famil,auto2,Cle,Cle.1,PCStop,revenu_moyen,mt_velo,autre_religion,nbmaisons,mt_cyclomoteur,revenu3,PCSouvr_quali,revenu4,auto1,revenu5,PCScadre,revenu1
0,0,0,0,0,4,0,0,0,3,1,6,4,8,1,3,0,8,2,0,1,2,0,0,1,1,1,0,0,3,1,0,1,1,1,0,3,0,0,1,0,3,6,0,8,0,0,3
1,4,6,0,3,4,0,0,0,8,0,0,3,6,2,4,0,2,4,2,2,5,0,0,4,1,0,0,0,1,0,0,0,2,2,5,6,0,0,1,0,5,0,4,9,0,0,1
2,0,6,0,4,4,0,0,0,5,2,4,3,8,2,3,0,9,3,2,3,2,0,0,3,2,2,1,0,4,1,0,2,3,3,2,3,0,2,1,0,3,2,1,6,0,1,2
3,0,5,0,0,3,0,0,0,4,2,4,2,6,2,4,0,3,5,4,2,2,0,0,4,2,1,2,0,5,1,0,2,4,4,2,4,0,2,1,0,3,1,1,7,0,1,2
4,0,0,0,0,1,0,0,0,1,4,9,2,0,2,7,0,7,2,0,0,0,0,0,6,0,0,0,0,4,0,0,2,5,5,0,3,0,0,1,0,0,4,0,7,0,0,5
5,0,0,0,0,4,0,0,0,2,3,6,2,4,0,3,0,7,3,0,0,1,0,0,3,4,4,1,0,5,1,0,1,6,6,1,4,0,2,1,0,2,3,1,5,0,0,2
6,0,6,0,0,2,0,0,0,5,3,4,2,1,2,2,0,8,3,0,5,1,0,0,5,2,1,2,0,5,0,0,1,7,7,2,3,0,1,1,0,2,3,0,8,0,0,2
7,0,0,0,0,0,0,0,0,8,2,2,3,9,2,2,0,2,2,0,6,4,0,0,5,0,0,3,0,3,0,0,4,8,8,4,6,0,2,1,0,4,0,2,5,2,3,1
8,0,0,0,0,2,0,0,0,6,1,2,2,2,2,0,0,1,4,0,2,3,0,0,7,1,2,0,0,3,0,0,0,9,9,2,4,0,2,1,0,3,3,1,7,0,0,3
9,0,0,0,0,4,0,0,0,8,3,5,4,9,2,2,0,3,5,0,3,2,0,0,2,0,2,0,0,7,0,0,1,10,10,0,4,0,0,1,0,2,2,0,6,0,0,0
10,0,0,0,0,0,0,0,0,6,5,6,3,5,0,0,0,8,0,0,2,0,0,0,3,2,4,0,0,2,2,0,2,11,11,0,2,0,0,1,0,2,3,0,3,0,0,6
11,0,6,0,0,0,0,0,0,3,0,4,3,4,2,6,0,8,4,0,7,1,0,0,1,1,1,2,0,3,0,0,2,12,12,2,5,0,0,1,0,3,3,2,6,1,1,2
